City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,Erzurum,40.0,41.5,22.68,48,0,3.31,TR,2021-12-12 19:07:48
245,Narsaq,60.9167,-46.05,17.82,80,4,5.35,GL,2021-12-12 19:07:48
246,Ilebo,-4.3167,20.5833,73.65,90,100,0.98,CD,2021-12-12 19:07:48
247,Kavieng,-2.5744,150.7967,83.08,76,100,4.59,PG,2021-12-12 19:07:49
248,Inhambane,-23.865,35.3833,79.95,88,1,11.39,MZ,2021-12-12 19:07:49
249,Awbari,26.5921,12.7805,55.0,44,1,6.46,LY,2021-12-12 19:07:49
250,Yauya,-8.9833,-77.3,64.33,43,93,7.76,PE,2021-12-12 19:07:50
251,Diu,20.7141,70.9822,73.29,62,0,5.68,IN,2021-12-12 19:07:50
252,Anshun,26.25,105.9333,40.39,92,100,3.87,CN,2021-12-12 19:07:50
253,Nouadhibou,20.931,-17.0347,67.06,67,86,15.99,MR,2021-12-12 19:07:51
254,Lasa,46.6166,10.7002,29.35,85,31,7.54,IT,2021-12-12 19:07:51
255,Bouna,9.2667,-3.0,84.58,18,97,1.86,CI,2021-12-12 19:07:51
256,Amursk,50.2261,136.8994,11.34,93,100,3.15,RU,2021-12-12 19:07:52
257,Techiman,7.5862,-1.9414,81.46,35,100,3.15,GH,2021-12-12 19:07:52
258,Arkhangelsk,64.5401,40.5433,8.71,84,75,4.47,RU,2021-12-12 19:07:52
259,Cidreira,-30.1811,-50.2056,74.82,75,0,10.51,BR,2021-12-12 19:07:53
260,Kaberamaido,1.7389,33.1594,78.75,35,55,12.73,UG,2021-12-12 19:07:53
261,Alekseyevka,50.6309,38.6903,29.3,63,100,12.03,RU,2021-12-12 19:07:53
262,Cockburn Town,21.4612,-71.1419,82.36,69,40,11.5,TC,2021-12-12 19:05:48
263,Maniitsoq,65.4167,-52.9,18.39,70,16,5.79,GL,2021-12-12 19:07:54
264,Aberdeen,57.1437,-2.0981,47.19,96,75,8.05,GB,2021-12-12 19:07:54
265,Luderitz,-26.6481,15.1594,63.28,82,2,13.78,NA,2021-12-12 19:07:55
