City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Lovington,US,32.944,-103.3485,67.32,17,0,7.0,clear sky
275,Hovd,MN,48.0056,91.6419,8.74,59,100,4.09,overcast clouds
276,Cukai,MY,4.25,103.4167,74.35,91,70,7.43,broken clouds
277,Yellowknife,CA,62.456,-114.3525,8.56,84,100,8.99,overcast clouds
278,Maragogi,BR,-9.0122,-35.2225,79.56,76,19,9.66,few clouds
279,Road Town,VG,18.4167,-64.6167,80.69,83,40,6.91,scattered clouds
280,Pangnirtung,CA,66.1451,-65.7125,-5.85,71,64,7.07,broken clouds
281,Komsomolskiy,UZ,40.4272,71.7189,35.02,35,13,1.66,few clouds
282,San Patricio,US,28.017,-97.5169,67.05,29,0,6.17,clear sky
283,Oussouye,SN,12.485,-16.5469,76.1,65,46,5.61,scattered clouds
284,Vallenar,CL,-28.5708,-70.7581,78.22,26,0,11.65,clear sky
285,Matipo,BR,-20.2839,-42.3411,73.78,92,98,4.07,moderate rain
286,Harper,LR,4.375,-7.7169,80.06,83,58,7.54,broken clouds
287,Coahuayana,MX,18.7333,-103.6833,90.88,57,30,6.78,scattered clouds
288,Egvekinot,RU,66.3167,-179.1667,-24.03,84,1,6.44,clear sky
289,Sawakin,SD,19.1059,37.3321,81.1,71,3,11.36,clear sky
290,Nishihara,JP,26.1842,127.7558,67.28,73,75,11.5,mist
291,Anito,PH,12.4497,125.2886,78.06,91,98,15.68,overcast clouds
292,Nemuro,JP,43.3236,145.575,34.65,68,21,26.46,light rain
293,Huambo,AO,-12.7761,15.7392,63.03,94,100,2.13,moderate rain
294,Dalvik,IS,65.9702,-18.5286,36.37,77,99,12.71,overcast clouds
295,Kruisfontein,ZA,-34.0033,24.7314,68.88,93,100,7.78,overcast clouds
296,Ambilobe,MG,-13.2,49.05,74.1,77,11,3.42,few clouds
297,Salmas,IR,38.1973,44.7653,34.32,56,0,1.95,clear sky
298,Sao Filipe,CV,14.8961,-24.4956,75.54,68,85,5.46,overcast clouds
299,Tura,IN,25.5198,90.2201,56.39,75,0,3.83,clear sky
300,Kostomuksha,RU,64.571,30.5767,23.07,97,100,4.74,light snow
301,Fallon,US,39.4735,-118.7774,51.93,43,75,16.11,broken clouds
302,Bilibino,RU,68.0546,166.4372,-35.52,96,13,5.14,few clouds
303,Taltal,CL,-25.4,-70.4833,65.01,72,28,5.95,scattered clouds
304,Buchanan,LR,5.8808,-10.0467,78.76,82,12,6.85,few clouds
305,Lavrentiya,RU,65.5833,-171.0,-14.26,86,8,2.93,clear sky
306,Kavaratti,IN,10.5669,72.642,80.74,75,85,2.93,overcast clouds
307,Viedma,AR,-40.8135,-62.9967,75.9,13,79,21.68,broken clouds
308,Waingapu,ID,-9.6567,120.2641,79.75,82,100,1.14,overcast clouds
309,Rovenki,UA,48.0833,39.3776,31.19,60,100,18.99,overcast clouds
310,Carlsbad,US,33.1581,-117.3506,71.74,51,1,4.0,clear sky
311,Maku,IR,39.2911,44.4521,36.25,46,1,0.18,clear sky
312,San Ramon,US,37.7799,-121.978,55.94,75,90,1.99,overcast clouds
313,Salina,US,38.8403,-97.6114,57.18,22,1,20.71,clear sky
314,Hay River,CA,60.8156,-115.7999,0.46,92,73,10.49,broken clouds
315,Central Point,US,42.376,-122.9164,44.73,86,90,4.61,light rain
316,Puno,PE,-15.8333,-70.0333,61.0,25,41,8.57,scattered clouds
317,Bandarbeyla,SO,9.4942,50.8122,76.75,78,5,22.32,clear sky
318,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,81.48,91,76,1.01,broken clouds
319,Katsuura,JP,35.1333,140.3,52.2,63,69,7.81,broken clouds
320,Fomboni,KM,-12.28,43.7425,81.41,73,91,13.44,overcast clouds
321,Vardo,NO,70.3705,31.1107,28.6,86,75,17.27,broken clouds
322,Sergeyevka,KZ,53.88,67.4158,5.09,92,17,8.3,few clouds
323,Indian Head,US,38.6001,-77.1622,52.56,29,1,1.99,clear sky
324,The Valley,AI,18.217,-63.0578,80.82,78,20,13.8,few clouds
325,Nisia Floresta,BR,-6.0911,-35.2086,83.21,76,4,10.83,clear sky
326,Batagay,RU,67.6333,134.6333,-41.42,100,95,1.28,overcast clouds
327,Nelson,NZ,-41.2833,173.2833,66.29,72,61,1.01,broken clouds
328,Faanui,PF,-16.4833,-151.75,80.71,72,68,9.62,light rain
329,Sarangani,PH,5.4033,125.4636,83.41,73,97,10.65,overcast clouds
330,Cururupu,BR,-1.8283,-44.8683,80.98,77,85,5.68,overcast clouds
331,Balykshi,KZ,47.0667,51.8667,19.4,73,0,11.18,clear sky
332,Hami,CN,42.8,93.45,22.69,45,6,6.44,clear sky
333,Matadi,CD,-5.8167,13.45,76.96,97,100,4.09,moderate rain
334,Moose Factory,CA,51.2585,-80.6094,24.93,98,100,1.99,light snow
335,Eyl,SO,7.9803,49.8164,75.94,74,19,20.58,few clouds
336,Zeljezno Polje,BA,44.4083,17.9319,28.62,98,100,5.61,snow
337,Ripky,UA,51.801,31.0838,39.76,88,100,6.78,overcast clouds
338,Isangel,VU,-19.55,169.2667,81.75,81,100,7.65,moderate rain
339,Acapulco,MX,16.8634,-99.8901,84.74,63,35,6.82,scattered clouds
340,La Romana,DO,18.4273,-68.9728,84.56,70,40,10.36,scattered clouds
341,Hlotse,LS,-28.8718,28.045,62.76,76,93,4.12,light rain
342,Vesyegonsk,RU,58.664,37.2604,26.96,95,100,6.35,overcast clouds
343,Pitkyaranta,RU,61.5734,31.4792,24.15,97,100,5.61,overcast clouds
344,Arieseni,RO,46.4833,22.7667,31.78,98,92,3.11,overcast clouds
345,Oxford,GB,51.7522,-1.256,54.05,86,75,1.01,broken clouds
346,Zakamensk,RU,50.3741,103.2863,0.46,91,78,3.78,broken clouds
347,Craig,US,40.5153,-107.5464,39.96,55,1,0.0,clear sky
348,Nevinnomyssk,RU,44.6267,41.9453,29.71,86,80,15.57,broken clouds
349,Caravelas,BR,-17.7125,-39.2481,77.43,84,42,8.3,scattered clouds
350,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
351,Victoria,HK,22.2855,114.1577,65.32,65,64,1.01,broken clouds
352,Angoche,MZ,-16.2325,39.9086,79.3,80,4,10.54,clear sky
353,Tarapur,IN,19.85,72.7,75.15,64,3,4.9,clear sky
354,Calabozo,VE,8.9242,-67.4293,91.74,38,93,9.44,overcast clouds
355,Hurghada,EG,27.2574,33.8129,71.2,71,100,4.61,overcast clouds
356,Tougan,BF,13.0667,-3.0667,79.39,17,88,8.52,overcast clouds
357,Urubicha,BO,-15.3833,-62.95,79.48,86,100,5.1,extreme rain
358,Kampot,KH,10.6167,104.1833,78.85,66,91,12.75,overcast clouds
359,Tahta,EG,26.7693,31.5021,68.67,36,100,7.96,overcast clouds
360,Nianzishan,CN,47.5167,122.8833,8.53,79,98,5.37,overcast clouds
361,Cidreira,BR,-30.1811,-50.2056,73.0,81,0,11.81,clear sky
362,Isla Mujeres,MX,21.2311,-86.731,82.45,66,58,9.4,broken clouds
363,Port-Cartier,CA,50.0334,-66.8654,29.75,68,100,22.24,overcast clouds
364,Alice Springs,AU,-23.7,133.8833,67.55,37,29,5.75,scattered clouds
365,Bowen,AU,-20.0167,148.2333,78.58,73,9,10.78,clear sky
366,Meulaboh,ID,4.1363,96.1285,75.52,91,84,3.15,broken clouds
367,Ambunti,PG,-4.2365,142.8448,74.44,99,100,0.89,overcast clouds
368,Darnah,LY,32.767,22.6367,58.35,70,5,13.67,clear sky
369,Abu Dhabi,AE,24.4667,54.3667,72.97,66,93,11.23,overcast clouds
370,Banda Aceh,ID,5.5577,95.3222,77.54,85,14,11.34,few clouds
371,Iquique,CL,-20.2208,-70.1431,68.04,77,55,7.36,broken clouds
372,Gao,ML,16.6362,1.637,75.4,10,97,11.21,overcast clouds
373,Iracoubo,GF,5.4802,-53.2011,77.04,90,100,11.99,light rain
